,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region
11,65,1,66,3/25/2020,0,0,AJK
12,347,81,580,3/25/2020,0,1,GB
5,255,25,561,3/26/2020,2,0,ICT
6,257,323,1436,26-Mar-2020,3,2,Punjab
8,295,413,1592,26-Mar-2020,14,1,Sindh
9,694,80,704,26-Mar-2020,2,3,KP
10,1437,131,1455,26-Mar-2020,0,1,Balochistan
12,77,1,77,26-Mar-2020,0,0,AJK
13,347,84,624,26-Mar-2020,0,1,GB
5,712,25,712,27-Mar-2020,2,0,ICT
6,1298,408,2257,27-Mar-2020,3,3,Punjab
7,4456,417,1592,27-Mar-2020,14,1,Sindh
8,704,123,917,27-Mar-2020,2,3,KP
9,1494,131,1512,27-Mar-2020,0,1,Balochistan
10,83,2,83,27-Mar-2020,0,0,AJK
11,777,91,762,27-Mar-2020,2,1,GB
5,910,39,1056,28-Mar-2020,2,0,ICT
6,3339,490,3310,28-Mar-2020,4,5,Punjab
7,4807,457,5158,28-Mar-2020,14,1,Sindh
8,820,180,1121,28-Mar-2020,2,3,KP
9,1494,133,1657,28-Mar-2020,2,1,Balochistan
10,90,2,97,28-Mar-2020,0,0,AJK
11,787,107,832,28-Mar-2020,3,1,GB
5,1067,43,1213,29-Mar-2020,2,0,ICT
6,3521,558,3492,29-Mar-2020,4,5,Punjab
7,5322,481,5673,29-Mar-2020,14,2,Sindh
8,928,188,1229,29-Mar-2020,2,4,KP
9,1601,138,1737,29-Mar-2020,2,1,Balochistan
10,97,2,97,29-Mar-2020,0,0,AJK
11,788,116,895,29-Mar-2020,4,1,GB
7,1200,51,1310,3/30/2020,3,0,ICT
8,3616,593,3492,3/30/2020,5,6,Punjab
9,5945,508,5945,3/30/2020,16,5,Sindh
10,1022,195,1324,3/30/2020,2,5,KP
11,1695,144,1710,3/30/2020,2,1,Balochistan
12,105,6,105,3/30/2020,0,0,AJK
13,862,128,862,3/30/2020,4,1,GB
5,1395,58,1469,3/31/2020,3,0,ICT
6,3770,652,2500,3/31/2020,5,9,Punjab
7,6328,627,6328,3/31/2020,42,7,Sindh
8,1334,221,1512,3/31/2020,2,6,KP
9,1825,153,1792,3/31/2020,2,1,Balochistan
10,177,6,177,3/31/2020,0,0,AJK
12,880,148,880,3/31/2020,4,2,GB
6,1703,54,1703,4/1/2020,3,0,ICT
7,4462,708,2720,4/1/2020,5,9,Punjab
8,6578,676,6578,4/1/2020,51,8,Sindh
9,1524,253,1271,4/1/2020,2,6,KP
10,1934,158,1934,4/1/2020,17,1,Balochistan
11,239,6,239,4/1/2020,0,0,AJK
13,891,184,750,4/1/2020,4,2,GB
6,1997,62,1997,4/2/2020,3,0,ICT
7,5086,845,2945,4/2/2020,6,11,Punjab
8,6926,743,6926,4/2/2020,58,9,Sindh
9,1814,276,1814,4/2/2020,19,8,KP
10,2049,169,2049,4/2/2020,17,1,Balochistan
11,249,9,249,4/2/2020,0,0,AJK
13,894,187,797,4/2/2020,4,2,GB
6,2395,68,2395,4/3/2020,3,0,ICT
7,5522,920,15134,4/3/2020,6,11,Punjab
8,7504,783,7504,4/3/2020,65,11,Sindh
9,1938,311,1938,4/3/2020,30,9,KP
10,2171,169,2171,4/3/2020,17,1,Balochistan
11,322,9,322,4/3/2020,0,0,AJK
13,961,190,844,4/3/2020,5,3,GB
6,343,11,343,4/4/2020,0,0,AJK
7,2401,175,2401,4/4/2020,17,1,Balochistan
8,963,193,860,4/4/2020,9,3,GB
9,2569,75,2569,4/4/2020,3,0,ICT
10,2369,343,1624,4/4/2020,30,11,KP
11,5456,1072,16508,4/4/2020,6,11,Punjab
13,8625,839,8625,4/4/2020,65,14,Sindh
6,385,12,385,4/5/2020,1,0,AJK
7,2513,185,2513,4/5/2020,17,1,Balochistan
8,1058,206,975,4/5/2020,9,3,GB
9,2744,78,2744,4/5/2020,3,0,ICT
10,2548,372,1769,4/5/2020,30,14,KP
11,7859,1163,17653,4/5/2020,25,12,Punjab
13,8846,864,8846,4/5/2020,85,15,Sindh
6,400,15,400,4/6/2020,1,0,AJK
7,3504,191,2777,4/6/2020,30,1,Balochistan
8,1062,210,998,4/6/2020,13,3,GB
9,2871,82,2871,4/6/2020,3,0,ICT
10,2882,405,1974,4/6/2020,62,16,KP
11,8682,1493,17724,4/6/2020,25,15,Punjab
13,9131,881,9131,4/6/2020,123,15,Sindh
6,484,18,484,4/7/2020,1,0,AJK
7,3456,202,2998,4/7/2020,63,1,Balochistan
8,1111,211,1015,4/7/2020,15,3,GB
9,2921,83,2921,4/7/2020,3,1,ICT
10,3016,500,2103,4/7/2020,69,17,KP
11,9386,1918,20073,4/7/2020,25,15,Punjab
13,9589,932,9589,4/7/2020,253,17,Sindh
6,534,19,534,4/8/2020,1,0,AJK
7,3549,206,3091,4/8/2020,75,2,Balochistan
8,1175,212,1127,4/8/2020,15,3,GB
9,3096,92,3096,4/8/2020,3,1,ICT
10,3068,527,2262,4/8/2020,70,18,KP
11,10347,2030,21826,4/8/2020,34,16,Punjab
13,10223,986,10223,4/8/2020,269,18,Sindh
6,581,28,581,4/9/2020,1,0,AJK
7,3709,212,3216,4/9/2020,76,2,Balochistan
8,1211,213,1143,4/9/2020,96,3,GB
9,3233,102,3233,4/9/2020,10,1,ICT
10,3322,560,2662,4/9/2020,74,20,KP
11,11741,2171,23080,4/9/2020,35,17,Punjab
13,10981,1036,10981,4/9/2020,280,20,Sindh
6,631,33,631,4/10/2020,1,0,AJK
7,4009,219,3405,4/10/2020,89,1,Balochistan
8,1334,215,1266,4/10/2020,111,3,GB
9,3375,107,3375,4/10/2020,10,1,ICT
10,3687,620,2871,4/10/2020,128,22,KP
11,13720,2279,31535,4/10/2020,39,18,Punjab
13,11623,1128,11623,4/10/2020,349,21,Sindh
6,745,34,745,4/11/2020,1,0,AJK
7,4109,220,3694,4/11/2020,95,1,Balochistan
8,1424,215,1334,4/11/2020,125,3,GB
9,3480,113,3480,4/11/2020,13,1,ICT
10,3768,656,3046,4/11/2020,131,25,KP
11,15850,2336,33328,4/11/2020,39,19,Punjab
13,12209,1214,12209,4/11/2020,358,22,Sindh
6,813,35,813,4/12/2020,1,0,AJK
7,4099,228,3812,4/12/2020,95,2,Balochistan
8,1488,216,1408,4/12/2020,146,3,GB
9,3570,119,3570,4/12/2020,13,1,ICT
10,4232,697,3259,4/12/2020,142,31,KP
11,18520,2425,36199,4/12/2020,258,21,Punjab
13,12740,1318,12740,4/12/2020,371,28,Sindh
6,910,40,910,4/13/2020,2,0,AJK
7,4222,230,3906,4/13/2020,123,2,Balochistan
8,1553,224,1476,4/13/2020,149,3,GB
9,3836,131,3836,4/13/2020,15,1,ICT
10,4305,744,3478,4/13/2020,145,34,KP
11,19395,2594,38199,4/13/2020,272,23,Punjab
13,13309,1411,13309,4/13/2020,389,30,Sindh
6,992,43,992,4/14/2020,4,0,AJK
7,4341,231,4012,4/14/2020,124,2,Balochistan
8,1644,233,1563,4/14/2020,155,3,GB
9,3947,131,3947,4/14/2020,15,1,ICT
10,4783,800,3793,4/14/2020,153,35,KP
11,21885,2826,41781,4/14/2020,508,24,Punjab
13,13840,1452,13840,4/14/2020,419,31,Sindh
6,1029,46,1029,4/15/2020,4,0,AJK
7,4298,240,4100,4/15/2020,137,2,Balochistan
8,1742,234,1618,4/15/2020,175,3,GB
9,4473,140,4473,4/15/2020,17,1,ICT
10,5088,865,4151,4/15/2020,178,38,KP
11,24726,2945,43565,4/15/2020,508,28,Punjab
13,14503,1518,14503,4/15/2020,427,35,Sindh
6,1081,46,1081,4/16/2020,9,0,AJK
7,4370,280,4299,4/16/2020,140,3,Balochistan
8,1839,237,1664,4/16/2020,178,3,GB
9,4824,145,4824,4/16/2020,17,1,ICT
10,5410,912,4524,4/16/2020,191,42,KP
11,27803,3217,46561,4/16/2020,550,34,Punjab
13,16026,1668,16026,4/16/2020,560,41,Sindh
6,1135,46,1135,4/17/2020,9,0,AJK
7,4490,303,4427,4/17/2020,142,5,Balochistan
8,1932,245,1826,4/17/2020,183,3,GB
9,5150,154,5150,4/17/2020,20,1,ICT
10,5758,993,4885,4/17/2020,205,45,KP
11,29326,3276,48381,4/17/2020,630,36,Punjab
13,18900,2008,18900,4/17/2020,576,45,Sindh
6,1175,48,1175,4/18/2020,9,0,AJK
7,5025,335,4812,4/18/2020,142,5,Balochistan
8,2313,250,2021,4/18/2020,192,3,GB
9,5479,163,5479,4/18/2020,20,1,ICT
10,6140,1077,5311,4/18/2020,216,50,KP
11,31245,3391,52478,4/18/2020,672,37,Punjab
13,21272,2217,21272,4/18/2020,581,47,Sindh
6,1229,48,1229,4/19/2020,9,0,AJK
7,5485,376,5085,4/19/2020,144,5,Balochistan
8,2429,257,2169,4/19/2020,193,3,GB
9,5857,171,5857,4/19/2020,20,2,ICT
10,6531,1137,6003,4/19/2020,226,60,KP
11,33199,3649,55241,4/19/2020,684,41,Punjab
13,22938,2355,22938,4/19/2020,592,48,Sindh
6,1275,49,1275,4/20/2020,10,0,AJK
7,5793,432,5315,4/20/2020,152,5,Balochistan
8,2657,263,2430,4/20/2020,194,3,GB
9,5976,181,5976,4/20/2020,20,3,ICT
10,7090,1235,6544,4/20/2020,267,67,KP
11,34084,3721,58304,4/20/2020,702,42,Punjab
13,24458,2537,24458,4/20/2020,625,56,Sindh
6,1355,50,1355,4/21/2020,16,0,AJK
7,6391,465,5636,4/21/2020,161,6,Balochistan
8,2827,281,2604,4/21/2020,195,3,GB
9,6224,185,6224,4/21/2020,20,3,ICT
10,8340,1276,9360,4/21/2020,297,74,KP
11,35890,4195,60649,4/21/2020,742,45,Punjab
13,26058,2764,26058,4/21/2020,635,61,Sindh
6,1416,51,1416,4/22/2020,23,0,AJK
7,7650,552,6130,4/22/2020,168,8,Balochistan
8,3047,290,2859,4/22/2020,201,3,GB
9,6931,204,6931,4/22/2020,26,3,ICT
10,9828,1453,10837,4/22/2020,414,83,KP
11,38965,4590,66030,4/22/2020,790,58,Punjab
13,30346,3373,30346,4/22/2020,715,69,Sindh
6,1471,55,1471,4/23/2020,0,0,AJK
7,8358,607,6504,4/23/2020,346,8,Balochistan
8,3239,300,2998,4/23/2020,75,3,GB
9,7519,214,7519,4/23/2020,173,3,ICT
10,10954,1541,11963,4/23/2020,628,85,KP
11,40157,4767,67882,4/23/2020,2497,65,Punjab
13,33028,3671,33028,4/23/2020,1805,73,Sindh
6,1522,55,1522,4/24/2020,0,0,AJK
7,8794,656,6742,4/24/2020,393,10,Balochistan
8,3434,307,3162,4/24/2020,81,3,GB
9,8059,223,8059,4/24/2020,177,3,ICT
10,12100,1708,13109,4/24/2020,738,89,KP
11,41126,5046,69971,4/24/2020,2577,73,Punjab
13,35582,3945,35582,4/24/2020,1893,75,Sindh
6,1588,55,1588,4/25/2020,0,0,AJK
7,10404,722,7212,4/25/2020,449,11,Balochistan
8,3591,308,3273,4/25/2020,79,3,GB
9,8455,235,8455,4/25/2020,188,3,ICT
10,12921,1793,13930,4/25/2020,760,93,KP
11,42456,5378,71726,4/25/2020,2577,81,Punjab
13,38181,4232,38181,4/25/2020,2146,78,Sindh
6,1588,55,1588,4/26/2020,32,0,AJK
7,10404,722,7212,4/26/2020,176,11,Balochistan
8,3591,308,3273,4/26/2020,216,3,GB
9,8455,235,8455,4/26/2020,29,3,ICT
10,12921,1793,13930,4/26/2020,485,93,KP
11,42456,5378,71726,4/26/2020,1126,81,Punjab
13,38181,4232,38181,4/26/2020,802,78,Sindh
6,1692,59,1692,4/27/2020,35,0,AJK
7,11279,781,7582,4/27/2020,176,13,Balochistan
8,3675,318,3398,4/27/2020,219,3,GB
9,8753,245,8753,4/27/2020,29,3,ICT
10,13880,1864,14889,4/27/2020,515,98,KP
11,42684,5446,73226,4/27/2020,1183,83,Punjab
13,41216,4615,41216,4/27/2020,872,81,Sindh
6,1713,65,1713,4/28/2020,35,0,AJK
7,12337,853,7991,4/28/2020,176,14,Balochistan
8,3736,320,3515,4/28/2020,222,3,GB
9,9247,261,9247,4/28/2020,36,4,ICT
10,14728,1984,15737,4/28/2020,533,104,KP
11,44999,5640,75071,4/28/2020,1306,91,Punjab
13,43949,4956,43949,4/28/2020,925,85,Sindh
6,1826,65,1826,4/29/2020,37,0,AJK
7,13286,915,8504,4/29/2020,176,14,Balochistan
8,3933,330,3647,4/29/2020,224,3,GB
9,9705,297,9705,4/29/2020,36,4,ICT
10,15540,2160,16549,4/29/2020,562,114,KP
11,47151,5827,77619,4/29/2020,1427,100,Punjab
13,48061,5291,48061,4/29/2020,963,92,Sindh
6,1958,66,1958,4/30/2020,37,0,AJK
7,14187,978,8820,4/30/2020,180,14,Balochistan
8,4176,333,3791,4/30/2020,228,3,GB
9,10435,313,10435,4/30/2020,44,4,ICT
10,16443,2313,17452,4/30/2020,614,122,KP
11,49573,6061,79914,4/30/2020,1780,103,Punjab
13,51790,5695,51790,4/30/2020,1169,100,Sindh
6,2038,66,2038,5/1/2020,43,0,AJK
7,15335,1049,9435,5/1/2020,183,14,Balochistan
8,4370,339,3932,5/1/2020,248,3,GB
9,11194,343,11194,5/1/2020,44,4,ICT
10,17495,2627,18504,5/1/2020,654,146,KP
11,53262,6340,82651,5/1/2020,1921,106,Punjab
13,54377,6053,54377,5/1/2020,1222,112,Sindh
6,2054,66,2054,5/2/2020,0,0,AJK
7,15653,1136,9821,5/2/2020,847,16,Balochistan
8,4590,340,4146,5/2/2020,72,3,GB
9,11689,365,11689,5/2/2020,302,4,ICT
10,18480,2799,19489,5/2/2020,1322,161,KP
